Stimuli,IV,Stimuli_Audio,Group,StimuliType
apārd,H-3,apārd.mp3,A,Stimuli
apārh,-2,apārh.mp3,A,Stimuli
apāfq,L-1,apāfq.mp3,A,Stimuli
apādp,0,apādp.mp3,A,Stimuli
apāsm,H+1,apāsm.mp3,A,Stimuli
apāšl,2,apāšl.mp3,A,Stimuli
apādl,L+3,apādl.mp3,A,Stimuli
ederd,H-3,ederd.mp3,A,Stimuli
ederh,-2,ederh.mp3,A,Stimuli
edefq,L-1,edefq.mp3,A,Stimuli
eredp,0,eredp.mp3,A,Stimuli
edesm,H+1,edesm.mp3,A,Stimuli
edešl,2,edešl.mp3,A,Stimuli
eredl,L+3,eredl.mp3,A,Stimuli
ovalg,-3,ovalg.mp3,A,Stimuli
ovand,H-2,ovand.mp3,A,Stimuli
ovačb,-1,ovačb.mp3,A,Stimuli
ovayr,L0,ovayr.mp3,A,Stimuli
ovajn,1,ovajn.mp3,A,Stimuli
ovahr,H+2,ovahr.mp3,A,Stimuli
ovapl,3,ovapl.mp3,A,Stimuli
izulg,-3,izulg.mp3,A,Stimuli
izund,H-2,izund.mp3,A,Stimuli
izučb,-1,izučb.mp3,A,Stimuli
izuyr,L0,izuyr.mp3,A,Stimuli
izujn,1,izujn.mp3,A,Stimuli
izuhr,H+2,izuhr.mp3,A,Stimuli
izupl,3,izupl.mp3,A,Stimuli
esāl?,L-3,esāl-.mp3,A,Stimuli
esālz,-2,esālz.mp3,A,Stimuli
eqāst,H-1,eqāst.mp3,A,Stimuli
esānm,0,esānm.mp3,A,Stimuli
esāds,L+1,esāds.mp3,A,Stimuli
esādm,2,esādm.mp3,A,Stimuli
esātr,H+3,esātr.mp3,A,Stimuli
atel?,L-3,atel-.mp3,A,Stimuli
atelz,-2,atelz.mp3,A,Stimuli
atast,H-1,atast.mp3,A,Stimuli
atenm,0,atenm.mp3,A,Stimuli
ateds,L+1,ateds.mp3,A,Stimuli
atedm,2,atedm.mp3,A,Stimuli
adetr,H+3,adetr.mp3,A,Stimuli
āveyq,-3,āveyq.mp3,A,Stimuli
