IVL,SL,IVR,SR,Group,SL_Audio,SR_Audio
0,čjesāv,-2,mkarāč,0,čjesāv.mp3,mkarāč.mp3
-2,lzazuf,L-2,mdazuf,0,lzazuf.mp3,mdazuf.mp3
3,presāv,-2,ržesāv,0,presāv.mp3,ržesāv.mp3
-1,fpesāv,3,plexim,0,fpesāv.mp3,plexim.mp3
3,plapid,-1,mčovap,0,plapid.mp3,mčovap.mp3
1,bfesāv,-2,ržekāz,0,bfesāv.mp3,ržekāz.mp3
L-2,lsarāč,L-3,y?obif,0,lsarāč.mp3,y-obif.mp3
-1,čbapid,L-1,ymekāz,0,čbapid.mp3,ymekāz.mp3
2,črobif,-2,mkobif,0,črobif.mp3,mkobif.mp3
L+2,fyobif,L-3,y?arāč,0,fyobif.mp3,y-arāč.mp3
-2,lzazuf,-3,rpesāv,0,lzazuf.mp3,rpesāv.mp3
-3,rpesāv,1,kžazuf,0,rpesāv.mp3,kžazuf.mp3
0,dpexim,-2,lzazuf,0,dpexim.mp3,lzazuf.mp3
H+1,smexim,L-2,lsobif,0,smexim.mp3,lsobif.mp3
L0,mnekāz,L+1,dsovap,0,mnekāz.mp3,dsovap.mp3
-2,mkarāč,1,kžovap,0,mkarāč.mp3,kžovap.mp3
H+2,hrapid,H-3,rdapid,0,hrapid.mp3,rdapid.mp3
-3,yqovap,2,dmovap,0,yqovap.mp3,dmovap.mp3
L+3,dlexim,H-3,rdexim,0,dlexim.mp3,rdexim.mp3
2,dmazuf,H-2,ndapid,0,dmazuf.mp3,ndapid.mp3
L-3,l?azuf,2,dmovap,0,l-azuf.mp3,dmovap.mp3
H-1,stazuf,0,dpexim,0,stazuf.mp3,dpexim.mp3
3,plexim,L+2,xlovap,0,plexim.mp3,xlovap.mp3
-1,fpekāz,-1,mčazuf,0,fpekāz.mp3,mčazuf.mp3
H+3,qlarāč,-1,fpekāz,0,qlarāč.mp3,fpekāz.mp3
0,čjesāv,-3,lgapid,0,čjesāv.mp3,lgapid.mp3
-3,lgexim,H0,qtazuf,0,lgexim.mp3,qtazuf.mp3
L+3,?yesāv,L+3,dlexim,0,-yesāv.mp3,dlexim.mp3
3,plapid,H+3,trazuf,0,plapid.mp3,trazuf.mp3
1,bfekāz,L+3,dlexim,0,bfekāz.mp3,dlexim.mp3
H+1,smexim,L-1,fqapid,0,smexim.mp3,fqapid.mp3
L+3,?yekāz,H0,fšarāč,0,-yekāz.mp3,fšarāč.mp3
L-1,ymekāz,L-2,lsobif,0,ymekāz.mp3,lsobif.mp3
H-2,ndexim,H0,qtovap,0,ndexim.mp3,qtovap.mp3
1,bfekāz,3,plapid,0,bfekāz.mp3,plapid.mp3
H-2,ndexim,L-2,lsobif,0,ndexim.mp3,lsobif.mp3
L0,mnekāz,-3,yqazuf,0,mnekāz.mp3,yqazuf.mp3
2,črarāč,H+2,hrapid,0,črarāč.mp3,hrapid.mp3
1,bfesāv,2,pnekāz,0,bfesāv.mp3,pnekāz.mp3
L0,mnesāv,H+3,qlobif,0,mnesāv.mp3,qlobif.mp3
1,bfesāv,0,dpexim,0,bfesāv.mp3,dpexim.mp3
H-3,rdapid,3,prekāz,0,rdapid.mp3,prekāz.mp3
1,myarāč,2,šlexim,0,myarāč.mp3,šlexim.mp3
L+1,dsovap,-1,mčazuf,0,dsovap.mp3,mčazuf.mp3
L-1,ymesāv,-2,ržekāz,0,ymesāv.mp3,ržekāz.mp3
-2,lzovap,H+1,smexim,0,lzovap.mp3,smexim.mp3
0,dpexim,-2,ržesāv,0,dpexim.mp3,ržesāv.mp3
L-3,y?obif,3,byazuf,0,y-obif.mp3,byazuf.mp3
-2,rhexim,2,črobif,0,rhexim.mp3,črobif.mp3
H0,fšarāč,-1,čbapid,0,fšarāč.mp3,čbapid.mp3
-2,ržekāz,H-1,njobif,0,ržekāz.mp3,njobif.mp3
L+1,dsazuf,1,kžazuf,0,dsazuf.mp3,kžazuf.mp3
L+3,?yekāz,L+1,dsovap,0,-yekāz.mp3,dsovap.mp3
2,pnekāz,L+3,?yekāz,0,pnekāz.mp3,-yekāz.mp3
2,črarāč,H0,fšarāč,0,črarāč.mp3,fšarāč.mp3
L+3,dlexim,L0,mnesāv,0,dlexim.mp3,mnesāv.mp3
-2,rhexim,H+1,smexim,1,rhexim.mp3,smexim.mp3
L-2,lsobif,-1,mčovap,1,lsobif.mp3,mčovap.mp3
L0,mnekāz,L-1,fqexim,1,mnekāz.mp3,fqexim.mp3
H+1,ksesāv,3,byovap,1,ksesāv.mp3,byovap.mp3
L-3,y?obif,-1,čbexim,1,y-obif.mp3,čbexim.mp3
H-3,ydekāz,L+2,xlovap,1,ydekāz.mp3,xlovap.mp3
-3,lgexim,0,čjekāz,1,lgexim.mp3,čjekāz.mp3
-3,rpesāv,H+1,ksesāv,1,rpesāv.mp3,ksesāv.mp3
3,byovap,0,šzobif,1,byovap.mp3,šzobif.mp3
-1,mčazuf,0,šzarāč,1,mčazuf.mp3,šzarāč.mp3
